Date of Lead Publication,Date Imported,Lead Title,Lead URL,Author,Source,Modified Excerpt,Original Excerpt,Operational Environment - Dimension,Operational Environment - Subdimension,Context additional tags - Dimension,Context additional tags - Subdimension,DEMOGRAPHIC GROUPS,AFFECTED GROUPS,SPECIFIC NEEDS GROUPS,Information Date (From),Information Date (To),Colombia Polygons,Country,Country (code),Departments,Departments (code),Municipalities,Municipalities (code),Sectoral Information - Dimension,Sectoral Information - Subdimension,Sectoral Information - Sector,Sectoral Information - Subsectors,DISPLACEMENT PROFILE DETAILS,Reliability,Severity,DISPLACEMENT PROFILE DETAILS
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Displacement ,Displacement,,,,Refugees,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Shelter,Shelter enveloppe ,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Context,Economic,,,,Affected,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Shelter,Shelter enveloppe ,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Displacement ,Displacement,,,,Affected,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Shelter,Shelter enveloppe ,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Context,Economic,,,,Migrants,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Cross-sector,,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Displacement ,Displacement,,,,Migrants,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Cross-sector,,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Context,Economic,,,,Refugees,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Cross-sector,,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Displacement ,Displacement,,,,Refugees,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Cross-sector,,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Context,Economic,,,,Affected,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Cross-sector,,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Displacement ,Displacement,,,,Affected,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Cross-sector,,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"In addition to these emergency services,
Venezuelans in Colombia are also in
need of shelter. In warmer climates as in Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Context,Economic,,,,Migrants,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Food security,,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"In addition to these emergency services,
Venezuelans in Colombia are also in
need of shelter. In warmer climates as in Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Displacement ,Displacement,,,,Migrants,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Food security,,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"In addition to these emergency services,
Venezuelans in Colombia are also in
need of shelter. In warmer climates as in Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Context,Economic,,,,Refugees,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Food security,,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"In addition to these emergency services,
Venezuelans in Colombia are also in
need of shelter. In warmer climates as in Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Displacement ,Displacement,,,,Refugees,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Food security,,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"In addition to these emergency services,
Venezuelans in Colombia are also in
need of shelter. In warmer climates as in Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Context,Economic,,,,Affected,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Food security,,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"In addition to these emergency services,
Venezuelans in Colombia are also in
need of shelter. In warmer climates as in Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Displacement ,Displacement,,,,Affected,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Food security,,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"In addition to these emergency services,
Venezuelans in Colombia are also in
need of shelter. In warmer climates as in Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Context,Economic,,,,Migrants,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Livelihoods,Income,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"In addition to these emergency services,
Venezuelans in Colombia are also in
need of shelter. In warmer climates as in Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Displacement ,Displacement,,,,Migrants,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Livelihoods,Income,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"In addition to these emergency services,
Venezuelans in Colombia are also in
need of shelter. In warmer climates as in Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Context,Economic,,,,Refugees,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Livelihoods,Income,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"In addition to these emergency services,
Venezuelans in Colombia are also in
need of shelter. In warmer climates as in Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Displacement ,Displacement,,,,Refugees,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Livelihoods,Income,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"In addition to these emergency services,
Venezuelans in Colombia are also in
need of shelter. In warmer climates as in Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Context,Economic,,,,Affected,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Livelihoods,Income,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"In addition to these emergency services,
Venezuelans in Colombia are also in
need of shelter. In warmer climates as in Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Displacement ,Displacement,,,,Affected,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Livelihoods,Income,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"In addition to these emergency services,
Venezuelans in Colombia are also in
need of shelter. In warmer climates as in Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Context,Economic,,,,Migrants,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Health,Health status and risks,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"In addition to these emergency services,
Venezuelans in Colombia are also in
need of shelter. In warmer climates as in Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Displacement ,Displacement,,,,Migrants,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Health,Health status and risks,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"In addition to these emergency services,
Venezuelans in Colombia are also in
need of shelter. In warmer climates as in Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Context,Economic,,,,Refugees,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Health,Health status and risks,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"In addition to these emergency services,
Venezuelans in Colombia are also in
need of shelter. In warmer climates as in Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Displacement ,Displacement,,,,Refugees,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Health,Health status and risks,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"In addition to these emergency services,
Venezuelans in Colombia are also in
need of shelter. In warmer climates as in Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Context,Economic,,,,Affected,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Health,Health status and risks,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"In addition to these emergency services,
Venezuelans in Colombia are also in
need of shelter. In warmer climates as in Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Displacement ,Displacement,,,,Affected,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Health,Health status and risks,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"In addition to these emergency services,
Venezuelans in Colombia are also in
need of shelter. In warmer climates as in Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Context,Economic,,,,Migrants,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Shelter,Shelter enveloppe ,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"In addition to these emergency services,
Venezuelans in Colombia are also in
need of shelter. In warmer climates as in Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Displacement ,Displacement,,,,Migrants,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Shelter,Shelter enveloppe ,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"In addition to these emergency services,
Venezuelans in Colombia are also in
need of shelter. In warmer climates as in Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Context,Economic,,,,Refugees,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Shelter,Shelter enveloppe ,,Usually Reliable,Of Concern. Monitoring required,
20-12-2019,30-12-2019,Supporting solidarity: why the world must bolster Colombia’s response to the Venezuelan displacement crisis - 2019 Board of Directors Mission Report,https://reliefweb.int/sites/reliefweb.int/files/resources/Colombia%2B-%2B2019%2B-%2B1.0.pdf,refugeesinternational,Redhum,"In addition to these emergency services,
Venezuelans in Colombia are also in
need of shelter. In warmer climates as in Cúcuta, Venezuelans sleep outside, making
homelessness a visible problem. The city
offers few opportunities—unemployment
is high, the informal economy dominates,
public services are inadequate, and local
government revenue is low. Therefore
unwilling to stay in Cúcuta but unable to
afford transportation elsewhere, Venezuelans
travel by foot to bigger cities or other
countries. The journey from Cúcuta to
Ecuador, for example, takes approximately
two weeks.",,Displacement ,Displacement,,,,Refugees,,19-12-2019,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Shelter,Shelter enveloppe ,,Usually Reliable,Of Concern. Monitoring required,
